cell_type	gene	counts	avg	Freq	perc_expr
Tgd	ADORA2A	733	-3.321928024291992	733	1
CD8+ Tmem	ADORA2A	1547	-3.321928024291992	1547	1
cDC	ADORA2A	31	-3.321928024291992	31	1
Mono/Mφ	ADORA2A	396	-3.321928024291992	396	1
CD4+ Tconv	ADORA2A	1876	-3.3192931240809753	1876	1
NK	ADORA2A	247	-3.321928024291992	247	1
Neutrophil	ADORA2A	403	-3.321928024291992	403	1
CD8+ Teff	ADORA2A	120	-3.321928024291992	120	1
B cell	ADORA2A	353	-3.321928024291992	353	1
pDC	ADORA2A	78	-3.321928024291992	78	1
CD4+ Treg	ADORA2A	275	-3.321928024291992	275	1
CD8+ Texh	ADORA2A	50	-3.321928024291992	50	1
Mast	ADORA2A	20	-3.321928024291992	20	1
Plasma cell	ADORA2A	9	-3.321928024291992	9	1
Tgd	ARG1	733	-3.321928024291992	733	1
CD8+ Tmem	ARG1	1547	-3.321928024291992	1547	1
cDC	ARG1	31	-3.321928024291992	31	1
Mono/Mφ	ARG1	396	-3.321928024291992	396	1
CD4+ Tconv	ARG1	1876	-3.321928024291992	1876	1
NK	ARG1	247	-3.321928024291992	247	1
Neutrophil	ARG1	403	-3.216269571195465	403	1
CD8+ Teff	ARG1	120	-3.321928024291992	120	1
B cell	ARG1	353	-3.321928024291992	353	1
pDC	ARG1	78	-3.321928024291992	78	1
CD4+ Treg	ARG1	275	-3.321928024291992	275	1
CD8+ Texh	ARG1	50	-3.321928024291992	50	1
Mast	ARG1	20	-3.321928024291992	20	1
Plasma cell	ARG1	9	-3.321928024291992	9	1
Tgd	BTLA	733	-3.314914583509323	733	1
CD8+ Tmem	BTLA	1547	-3.1256675052118825	1547	1
cDC	BTLA	31	-2.909846848057162	31	1
Mono/Mφ	BTLA	396	-3.278414739502801	396	1
CD4+ Tconv	BTLA	1876	-3.1574038558804403	1876	1
NK	BTLA	247	-3.321928024291992	247	1
Neutrophil	BTLA	403	-3.304418418898476	403	1
CD8+ Teff	BTLA	120	-3.2279994467894237	120	1
B cell	BTLA	353	-1.9935387950443344	353	1
pDC	BTLA	78	-2.8278419757500672	78	1
CD4+ Treg	BTLA	275	-2.788189870227467	275	1
CD8+ Texh	BTLA	50	-3.2393575954437255	50	1
Mast	BTLA	20	-3.321928024291992	20	1
Plasma cell	BTLA	9	-2.8837518559561834	9	1
Tgd	BTN3A1	733	-2.352407565708863	733	1
CD8+ Tmem	BTN3A1	1547	-2.1668765928834657	1547	1
cDC	BTN3A1	31	-3.321928024291992	31	1
Mono/Mφ	BTN3A1	396	-3.170404017724172	396	1
CD4+ Tconv	BTN3A1	1876	-2.5627585901761614	1876	1
NK	BTN3A1	247	-2.480587060876221	247	1
Neutrophil	BTN3A1	403	-2.975775007574493	403	1
CD8+ Teff	BTN3A1	120	-2.2769127368927	120	1
B cell	BTN3A1	353	-2.953424332499842	353	1
pDC	BTN3A1	78	-2.8415883641976576	78	1
CD4+ Treg	BTN3A1	275	-2.3105794499137184	275	1
CD8+ Texh	BTN3A1	50	-1.8656771111488342	50	1
Mast	BTN3A1	20	-2.241668140888214	20	1
Plasma cell	BTN3A1	9	-0.92360058426857	9	1
Tgd	BTN3A2	733	-0.8744528285478017	733	1
CD8+ Tmem	BTN3A2	1547	-1.0634839787510957	1547	1
cDC	BTN3A2	31	-2.903323494618939	31	1
Mono/Mφ	BTN3A2	396	-2.8852601355374463	396	1
CD4+ Tconv	BTN3A2	1876	-1.5814634286709177	1876	1
NK	BTN3A2	247	-0.9182973525784759	247	1
Neutrophil	BTN3A2	403	-2.9250777193689466	403	1
CD8+ Teff	BTN3A2	120	-0.1392390251159668	120	1
B cell	BTN3A2	353	-1.8456312009362932	353	1
pDC	BTN3A2	78	-2.494166510227399	78	1
CD4+ Treg	BTN3A2	275	-1.1484846277670426	275	1
CD8+ Texh	BTN3A2	50	-0.45302470445632936	50	1
Mast	BTN3A2	20	-2.6927124142646788	20	1
Plasma cell	BTN3A2	9	-3.321928024291992	9	1
Tgd	CCL5	733	5.542246355529046	733	1
CD8+ Tmem	CCL5	1547	5.3232423933999495	1547	1
cDC	CCL5	31	-2.1482120867698424	31	1
Mono/Mφ	CCL5	396	-2.7691114842891693	396	1
CD4+ Tconv	CCL5	1876	-0.1957439179423013	1876	1
NK	CCL5	247	4.507167485320133	247	1
Neutrophil	CCL5	403	-3.0814882188517756	403	1
CD8+ Teff	CCL5	120	5.943731741110484	120	1
B cell	CCL5	353	-2.7978315954505555	353	1
pDC	CCL5	78	-2.644104385987306	78	1
CD4+ Treg	CCL5	275	-1.8088381539691578	275	1
