name	display	color	alpha
T_cells_CD8_Aggregate2	T_cell	YlOrBr	0.9
T_cells_CD8_Aggregate2	T_cell_nucleus	YlOrBr	1
Dendritic_cells_Aggregate2	Dendritic_cell	Purples	0.9
Dendritic_cells_Aggregate2	Dendritic_cell_nucleus	Purples	1
Macrophage_Aggregate2	Tissue_macrophage	Blues	0.9
Macrophage_Aggregate2	Tissue_macrophage_nucleus	Blues	1
Tumor_fraction	Tumor	YlOrRd	0.9
Tumor_fraction	Tumor_nucleus	YlOrRd	1
T_cells_CD8_Aggregate2	TCR	Greens	1
29851	ICOS	Greens	1
80380	PD-L2	Greens	1
29126	PD-L1	Greens	1
940	CD28	Greens	1
1493	CTLA-4	Greens	1
959	CD40L	Greens	1
958	CD40	Greens	1
23308	ICOSL	Greens	1
942	CD86	Greens	1
941	CD80	Greens	1
5133	PD-1	Greens	1
3604	Four.1BB	Greens	1
8744	Four.1BBL	Greens	1
7292	OX40L	Greens	1
7293	OX40	Greens	1
8995	GITRL	Greens	1
8784	GITR	Greens	1
3105	MHC	Greens	1
3113	MHC-II	Greens	1
3902	LAG-3	Greens	1
84868	TIM-3	Greens	1
3965	Galectin_9	Greens	1
5817	CD155	Greens	1
201633	TIGIT	Greens	1
