"id","slug","name","headline","description","avatar_url","website_url","status","platform","doi","start_date","end_date","created_at","updated_at"
"1","network-topology-and-parameter-inference","Network Topology and Parameter Inference","Optimize methods to estimate biology model parameters","Participants are asked to develop and/or apply optimization methods, including the selection of the most informative experiments, to accurately estimate parameters and predict outcomes of perturbations in Systems Biology models.","","https://www.synapse.org/#!Synapse:syn2821735","completed","1","","2012-06-01","2012-10-01","2023-11-15 22:40:15","2023-11-16 18:31:42"
"2","breast-cancer-prognosis","Breast Cancer Prognosis","Predict breast cancer survival from clinical and genomic data","The goal of the breast cancer prognosis Challenge is to assess the accuracy of computational models designed to predict breast cancer survival, based on clinical information about the patient's tumor as well as genome-wide molecular profiling data including gene expression and copy number profiles.","","https://www.synapse.org/#!Synapse:syn2813426","completed","1","","2012-07-12","2012-10-15","2023-11-14 20:36:32","2023-11-14 20:17:33"
"3","phil-bowen-als-prediction-prize4life","Phil Bowen ALS Prediction Prize4Life","Seeking treatment to halt ALS's fatal loss of motor function","Amyotrophic Lateral Sclerosis (ALS), or Lou Gehrig's disease, is a fatal neurological condition causing the death of nerve cells in the brain and spinal cord, resulting in a progressive loss of motor function while cognitive functions persist. Typically emerging around age 50, it affects about five in 100,000 people worldwide, with familial hereditary forms as the only known risk factors (5-10% of cases).  There is currently no cure for ALS. The FDA-approved drug Riluzole extends life by a few months. ALS patients, on average, have a life expectancy of 2-5 years, with 10% experiencing slower disease progression. Astrophysicist Stephen Hawking, living with ALS for 49 years, is an exceptional case.  The DREAM-Phil Bowen ALS Prediction Prize4Life, or ""ALS Prediction Prize,"" utilizes the PRO-ACT database with clinical data from over 7,500 ALS patients. This collaboration with DREAM aims to expedite ALS treatment discovery. Prize4Life, a non-profit, collaborates with NEALS and ALS Ther...","","https://www.synapse.org/#!Synapse:syn2826267","completed","1","","2012-06-01","2012-10-01","2023-11-01 22:09:02","2023-11-13 17:16:16"
"4","drug-sensitivity-and-drug-synergy-prediction","Drug Sensitivity and Drug Synergy Prediction","Predicting drug sensitivity in human cell lines","Development of new cancer therapeutics currently requires a long and protracted process of experimentation and testing. Human cancer cell lines represent a good model to help identify associations between molecular subtypes, pathways, and drug response. In recent years there have been several efforts to generate genomic profiles of collections of cell lines and to determine their response to panels of candidate therapeutic compounds. These data provide the basis for the development of in silico models of sensitivity based either on the unperturbed genetic potential of a cancer cell, or by using perturbation data to incorporate knowledge of actual cell response. Making predictions from either of these data profiles will be beneficial in identifying single and combinatorial chemotherapeutic response in patients. To that end, the present challenge seeks computational methods, derived from the molecular profiling of cell lines both in a static state and in response to perturbation of ...","","https://www.synapse.org/#!Synapse:syn2785778","completed","1","","2012-06-01","2012-10-01","2023-11-01 22:08:36","2023-11-16 17:58:39"
"5","niehs-ncats-unc-toxicogenetics","NIEHS-NCATS-UNC Toxicogenetics","Predicting cytotoxicity from genomic and chemical data","This challenge is designed to build predictive models of cytotoxicity as mediated by exposure to environmental toxicants and drugs. To approach this question, we will provide a dataset containing cytotoxicity estimates as measured in lymphoblastoid cell lines derived from 884 individuals following in vitro exposure to 156 chemical compounds. In subchallenge 1, participants will be asked to model interindividual variability in cytotoxicity based on genomic profiles in order to predict cytotoxicity in unknown individuals. In subchallenge 2, participants will be asked to predict population-level parameters of cytotoxicity across chemicals based on structural attributes of compounds in order to predict median cytotoxicity and mean variance in toxicity for unknown compounds.","","https://www.synapse.org/#!Synapse:syn1761567","completed","1","","2013-06-10","2013-09-15","2023-11-01 22:08:45","2023-11-01 22:06:01"
"6","whole-cell-parameter-estimation","Whole-Cell Parameter Estimation","Seeking innovative parameter estimation methods for large models","The goal of this challenge is to explore and compare innovative approaches to parameter estimation of large, heterogeneous computational models. Participants are encouraged to develop and/or apply optimization methods, including the selection of the most informative experiments. The organizers encourage participants to form teams to collaboratively solve the challenge.","","https://www.synapse.org/#!Synapse:syn1876068","completed","1","","2013-06-10","2013-09-23","2023-06-23 00:00:00","2023-11-01 22:06:23"
"7","hpn-dream-breast-cancer-network-inference","HPN-DREAM Breast Cancer Network Inference","Inferring causal signaling networks in breast cancer","The overall goal of the Heritage-DREAM breast cancer network inference challenge is to quickly and effectively advance our ability to infer causal signaling networks and predict protein phosphorylation dynamics in cancer. We provide extensive training data from experiments on four breast cancer cell lines stimulated with various ligands. The data comprise protein abundance time-courses under inhibitor perturbations.","","https://www.synapse.org/#!Synapse:syn1720047","completed","1","","2013-06-10","2013-09-16","2023-06-23 00:00:00","2023-11-13 17:15:59"
"8","rheumatoid-arthritis-responder","Rheumatoid Arthritis Responder","Unlocking Anti-TNF response predictors in RA therapy","The goal of this project is to use a crowd-based competition framework to develop a validated molecular predictor of anti-TNF response in RA. There is an increasing need for predictors of response to therapy in inflammatory disease driven by the observation that most clinically defined diseases show variable response and the growing availability of alternative therapies. Anti-TNF drugs in Rheumatoid Arthritis represent a prototypical example of this opportunity. A number of studies have tried, over the past decade, to develop a robust predictor of response. We believe the time is right to try a different approach to developing such a biomarker with a crowd-sourced collaborative competition. This is based on DREAM and Sage Bionetworks' experience with running competitions and the availability of new unpublished large-scale data relating to RA treatment response.THIS CHALLENGE RAN FROM FEBRUARY TO OCTOBER 2014 AND IS NOW CLOSED.","","https://www.synapse.org/#!Synapse:syn1734172","completed","1","","2014-02-10","2014-06-04","2023-06-23 00:00:00","2023-11-15 22:42:17"
"9","icgc-tcga-dream-mutation-calling","ICGC-TCGA DREAM Mutation Calling","Crowdsourcing challenge to improve cancer mutation detection","The ICGC-TCGA DREAM Genomic Mutation Calling Challenge (herein, The Challenge) is an international effort to improve standard methods for identifying cancer-associated mutations and rearrangements in whole-genome sequencing (WGS) data. Leaders of the International Cancer Genome Consortium (ICGC) and The Cancer Genome Atlas (TCGA) cancer genomics projects are joining with Sage Bionetworks and IBM-DREAM to initiate this innovative open crowd-sourced Challenge [1-3].","","https://www.synapse.org/#!Synapse:syn312572","completed","1","","2013-12-14","2016-04-22","2023-06-23 00:00:00","2023-10-14 05:38:15"
"10","acute-myeloid-leukemia-outcome-prediction","Acute Myeloid Leukemia Outcome Prediction","Uncover drivers of AML using clinical and proteomic data","The AML Outcome Prediction Challenge provides a unique opportunity to access and interpret a rich dataset for AML patients that includes clinical covariates, select gene mutation status and proteomic data. Capitalizing on a unique AML reverse phase protein array (RPPA) dataset obtained at M.D. Anderson Cancer Center that captures 271 measurements for each patient, participants of the DREAM 9 Challenge will help uncover what drives AML. Outcomes of this Challenge have the potential to be used immediately to tailor therapies for newly diagnosed leukemia patients and to accelerate the development of new drugs for leukemia.","","https://www.synapse.org/#!Synapse:syn2455683","completed","1","","2014-06-02","2014-09-15","2023-06-23 00:00:00","2023-10-14 05:38:16"
"11","broad-dream-gene-essentiality-prediction","Broad-DREAM Gene Essentiality Prediction","Crowdsourcing models to predict cancer cell gene dependencies","The goal of this project is to use a crowd-based competition to develop predictive models that can infer gene dependency scores in cancer cells (genes that are essential to cancer cell viability when suppressed) using features of those cell lines. An additional goal is to find a small set of biomarkers (gene expression, copy number, and mutation features) that can best predict a single gene or set of genes.","","https://www.synapse.org/#!Synapse:syn2384331","completed","1","","2014-06-02","2014-09-29","2023-06-23 00:00:00","2023-10-14 05:38:16"
