"id","class_id","preferred_label"
"\N","http://edamontology.org/data_0005","Resource type"
"\N","http://edamontology.org/data_0006","Data"
"\N","http://edamontology.org/data_0007","Tool"
"\N","http://edamontology.org/data_0581","Database"
"\N","http://edamontology.org/data_0582","Ontology"
"\N","http://edamontology.org/data_0583","Directory metadata"
"\N","http://edamontology.org/data_0831","MeSH vocabulary"
"\N","http://edamontology.org/data_0832","HGNC vocabulary"
"\N","http://edamontology.org/data_0835","UMLS vocabulary"
"\N","http://edamontology.org/data_0842","Identifier"
"\N","http://edamontology.org/data_0843","Database entry"
"\N","http://edamontology.org/data_0844","Molecular mass"
"\N","http://edamontology.org/data_0845","Molecular charge"
"\N","http://edamontology.org/data_0846","Chemical formula"
"\N","http://edamontology.org/data_0847","QSAR descriptor"
"\N","http://edamontology.org/data_0848","Raw sequence"
"\N","http://edamontology.org/data_0849","Sequence record"
"\N","http://edamontology.org/data_0850","Sequence set"
"\N","http://edamontology.org/data_0851","Sequence mask character"
"\N","http://edamontology.org/data_0852","Sequence mask type"
"\N","http://edamontology.org/data_0853","DNA sense specification"
"\N","http://edamontology.org/data_0854","Sequence length specification"
"\N","http://edamontology.org/data_0855","Sequence metadata"
"\N","http://edamontology.org/data_0856","Sequence feature source"
"\N","http://edamontology.org/data_0857","Sequence search results"
"\N","http://edamontology.org/data_0858","Sequence signature matches"
"\N","http://edamontology.org/data_0859","Sequence signature model"
"\N","http://edamontology.org/data_0860","Sequence signature data"
"\N","http://edamontology.org/data_0861","Sequence alignment (words)"
"\N","http://edamontology.org/data_0862","Dotplot"
"\N","http://edamontology.org/data_0863","Sequence alignment"
"\N","http://edamontology.org/data_0864","Sequence alignment parameter"
"\N","http://edamontology.org/data_0865","Sequence similarity score"
"\N","http://edamontology.org/data_0866","Sequence alignment metadata"
"\N","http://edamontology.org/data_0867","Sequence alignment report"
"\N","http://edamontology.org/data_0868","Profile-profile alignment"
"\N","http://edamontology.org/data_0869","Sequence-profile alignment"
"\N","http://edamontology.org/data_0870","Sequence distance matrix"
"\N","http://edamontology.org/data_0871","Phylogenetic character data"
"\N","http://edamontology.org/data_0872","Phylogenetic tree"
"\N","http://edamontology.org/data_0874","Comparison matrix"
"\N","http://edamontology.org/data_0875","Protein topology"
"\N","http://edamontology.org/data_0876","Protein features report (secondary structure)"
"\N","http://edamontology.org/data_0877","Protein features report (super-secondary)"
"\N","http://edamontology.org/data_0878","Protein secondary structure alignment"
"\N","http://edamontology.org/data_0879","Secondary structure alignment metadata (protein)"
"\N","http://edamontology.org/data_0880","RNA secondary structure"
"\N","http://edamontology.org/data_0881","RNA secondary structure alignment"
"\N","http://edamontology.org/data_0882","Secondary structure alignment metadata (RNA)"
"\N","http://edamontology.org/data_0883","Structure"
"\N","http://edamontology.org/data_0884","Tertiary structure record"
"\N","http://edamontology.org/data_0885","Structure database search results"
"\N","http://edamontology.org/data_0886","Structure alignment"
"\N","http://edamontology.org/data_0887","Structure alignment report"
"\N","http://edamontology.org/data_0888","Structure similarity score"
"\N","http://edamontology.org/data_0889","Structural profile"
"\N","http://edamontology.org/data_0890","Structural (3D) profile alignment"
"\N","http://edamontology.org/data_0891","Sequence-3D profile alignment"
"\N","http://edamontology.org/data_0892","Protein sequence-structure scoring matrix"
"\N","http://edamontology.org/data_0893","Sequence-structure alignment"
"\N","http://edamontology.org/data_0894","Amino acid annotation"
"\N","http://edamontology.org/data_0895","Peptide annotation"
"\N","http://edamontology.org/data_0896","Protein report"
"\N","http://edamontology.org/data_0897","Protein property"
"\N","http://edamontology.org/data_0899","Protein structural motifs and surfaces"
"\N","http://edamontology.org/data_0900","Protein domain classification"
"\N","http://edamontology.org/data_0901","Protein features report (domains)"
"\N","http://edamontology.org/data_0902","Protein architecture report"
"\N","http://edamontology.org/data_0903","Protein folding report"
"\N","http://edamontology.org/data_0904","Protein features (mutation)"
"\N","http://edamontology.org/data_0905","Protein interaction raw data"
"\N","http://edamontology.org/data_0906","Protein interaction data"
"\N","http://edamontology.org/data_0907","Protein family report"
"\N","http://edamontology.org/data_0909","Vmax"
"\N","http://edamontology.org/data_0910","Km"
"\N","http://edamontology.org/data_0911","Nucleotide base annotation"
"\N","http://edamontology.org/data_0912","Nucleic acid property"
"\N","http://edamontology.org/data_0914","Codon usage data"
"\N","http://edamontology.org/data_0916","Gene report"
"\N","http://edamontology.org/data_0917","Gene classification"
"\N","http://edamontology.org/data_0918","DNA variation"
"\N","http://edamontology.org/data_0919","Chromosome report"
"\N","http://edamontology.org/data_0920","Genotype/phenotype report"
"\N","http://edamontology.org/data_0923","PCR experiment report"
"\N","http://edamontology.org/data_0924","Sequence trace"
"\N","http://edamontology.org/data_0925","Sequence assembly"
"\N","http://edamontology.org/data_0926","RH scores"
"\N","http://edamontology.org/data_0927","Genetic linkage report"
"\N","http://edamontology.org/data_0928","Gene expression profile"
"\N","http://edamontology.org/data_0931","Microarray experiment report"
"\N","http://edamontology.org/data_0932","Oligonucleotide probe data"
"\N","http://edamontology.org/data_0933","SAGE experimental data"
"\N","http://edamontology.org/data_0934","MPSS experimental data"
"\N","http://edamontology.org/data_0935","SBS experimental data"
"\N","http://edamontology.org/data_0936","Sequence tag profile (with gene assignment)"
"\N","http://edamontology.org/data_0937","Electron density map"
"\N","http://edamontology.org/data_0938","Raw NMR data"
"\N","http://edamontology.org/data_0939","CD spectra"
"\N","http://edamontology.org/data_0940","Volume map"
"\N","http://edamontology.org/data_0941","Electron microscopy model"
"\N","http://edamontology.org/data_0942","2D PAGE image"
"\N","http://edamontology.org/data_0943","Mass spectrum"
"\N","http://edamontology.org/data_0944","Peptide mass fingerprint"
"\N","http://edamontology.org/data_0945","Peptide identification"
"\N","http://edamontology.org/data_0946","Pathway or network annotation"
"\N","http://edamontology.org/data_0947","Biological pathway map"
"\N","http://edamontology.org/data_0948","Data resource definition"
"\N","http://edamontology.org/data_0949","Workflow metadata"
"\N","http://edamontology.org/data_0950","Mathematical model"
"\N","http://edamontology.org/data_0951","Statistical estimate score"
"\N","http://edamontology.org/data_0952","EMBOSS database resource definition"
"\N","http://edamontology.org/data_0953","Version information"
"\N","http://edamontology.org/data_0954","Database cross-mapping"
"\N","http://edamontology.org/data_0955","Data index"
