title,slug,headline,logo,description,url,doi,platform,start_date,end_date,status,monetary_incentive,publication_incentive,speaking_incentive,other_incentive,file_submission,container_submission,notebook_submission,other_submission
VESSEL12,VESSEL12,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/1/logo.png,The VESSEL12 challenge compares methods for automatic (and semi-automatic) segmentation of blood vessels in the lungs from CT images.,https://vessel12.grand-challenge.org/,https://doi.org/10.1016/j.media.2014.07.003,Grand Challenge,,,completed,False,True,False,FALSE,False,False,FALSE,FALSE
CRASS,CRASS,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/5/logo.png,CRASS stands for Chest Radiograph Anatomical Structure Segmentation. The challenge currently invites participants to send in results for clavicle segmentation algorithms.,https://crass.grand-challenge.org/,,Grand Challenge,,,completed,False,False,False,FALSE,False,False,FALSE,FALSE
ANODE09,ANODE09,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/7/logo.png,"ANODE09 is an initiative to compare systems that perform automatic detection of pulmonary nodules in chest CT scans on a single common database, with a single evaluation protocol.",https://anode09.grand-challenge.org/,https://doi.org/10.1016/j.media.2010.05.005,Grand Challenge,,,completed,False,False,False,FALSE,False,False,FALSE,FALSE
CAUSE07,CAUSE07,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/8/logo.png,The goal of CAUSE07 is to compare different algorithms to segment the caudate nucleaus from brain MRI scans.,https://cause07.grand-challenge.org/,,Grand Challenge,,,completed,False,True,True,FALSE,False,False,FALSE,FALSE
Subsolid Nodules,subsolidNodules,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/10/logo.png,We are presenting results of our segmentation method for subsolid lung nodules.,https://subsolidnodules.grand-challenge.org/,,Grand Challenge,,,completed,False,False,False,FALSE,False,False,FALSE,FALSE
CADDementia,CADDementia,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/17/logo3_100.png,"We seek algorithms that perform multi-class classification of patients with Alzheimer’s disease (AD), patients with mild cognitive impairment (MCI) and healthy controls (CN) using multi-center structural MRI data.",https://caddementia.grand-challenge.org/,https://doi.org/10.1016/j.neuroimage.2015.01.048,Grand Challenge,,,completed,False,False,False,FALSE,False,False,FALSE,FALSE
MITOS-ATYPIA-14,MITOS-ATYPIA-14,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/20/logo_mitos_atypia.png,"MITOS & ATYPIA 14 Contest, hosted by conference ICPR 2014Detection of mitosis and evaluation of nuclear atypia on breast cancer H&E stained images",https://mitos-atypia-14.grand-challenge.org/,,Grand Challenge,,,completed,False,False,False,FALSE,False,False,FALSE,FALSE
LOLA11,LOLA11,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/39/lola11_web_GVIrfhf.png,"The goal of LOLA11 (LObe and Lung Analysis 2011) is to compare methods for (semi-)automatic segmentation of the lungs and lobes from chest computed tomography scans. Any team, whether from academia or industry, can join.",https://lola11.grand-challenge.org/,,Grand Challenge,,,active,False,True,True,FALSE,True,False,FALSE,FALSE
PROMISE12,PROMISE12,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/40/promise12.png,The goal of this challenge is to compare interactive and (semi)-automatic segmentation algorithms for MRI of the prostate.,https://promise12.grand-challenge.org/,https://doi.org/10.1016/j.media.2013.12.002,Grand Challenge,,,completed,False,True,True,FALSE,True,False,FALSE,FALSE
CAMELYON16,CAMELYON16,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/65/logo.png,The goal of this challenge is to evaluate new and existing algorithms for automated detection of cancer metastasis in digitized lymph node tissue sections. Two large datasets from both the Radboud University Medical Center and the University Medical Center Utrecht are provided.,https://camelyon16.grand-challenge.org/,https://doi.org/10.1001/jama.2017.14585,Grand Challenge,,,completed,False,True,True,FALSE,False,False,FALSE,FALSE
ISBI-AIDA,ISBI-AIDA,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/67/logo.png,ISBI Endoscopic Image Challenge,https://isbi-aida.grand-challenge.org/,,Grand Challenge,,,completed,False,True,True,FALSE,False,False,FALSE,FALSE
LUNA16,LUNA16,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/71/luna16_logo.png,The LUNA16 challenge: automatic nodule detection on chest CT,https://luna16.grand-challenge.org/,https://doi.org/10.1016/j.media.2017.06.015,Grand Challenge,,,completed,False,True,True,FALSE,False,False,FALSE,FALSE
CAMELYON17,CAMELYON17,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/80/camelyon17_logo.png,Automated detection and classification of breast cancer metastases in whole-slide images of histological lymph node sections. This task has high clinical relevance and would normally require extensive microscopic assessment by pathologists.,https://camelyon17.grand-challenge.org/,https://doi.org/10.1109/tmi.2018.2867350,Grand Challenge,,,active,False,True,True,FALSE,True,False,FALSE,FALSE
RETOUCH,RETOUCH,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/111/retouch-logo.png,Retinal OCT Fluid Challenge (RETOUCH) compares automated algorithms that are able to detect and segment different types of retinal fluid in optical coherence tomography (OCT).,https://retouch.grand-challenge.org/,https://doi.org/10.1109/tmi.2019.2901398,Grand Challenge,,,completed,False,True,True,FALSE,False,False,FALSE,FALSE
CATARACTS,CATARACTS,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/130/logo.png,The Challenge on Automatic Tool Annotation for cataRACT Surgery aims at evaluating image-based tool detection algorithms in the context of the most common surgical procedure in the world.,https://cataracts.grand-challenge.org/,https://doi.org/10.1016/j.media.2018.11.008,Grand Challenge,,,completed,False,True,False,FALSE,False,False,FALSE,FALSE
TADPOLE,TADPOLE,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/141/logo_gC1i5c5.png,The Alzheimer’s Disease Prediction Of Longitudinal Evolution (TADPOLE) challenge is brought to you by the EuroPOND consortium in collaboration with the Alzheimer’s Disease Neuroimaging Initiative (ADNI).,https://tadpole.grand-challenge.org/,https://arxiv.org/abs/2002.03419,Grand Challenge,,,completed,True,True,False,FALSE,True,False,FALSE,FALSE
CoronARe,CoronARe,,,"CoronARe ranks state-of-the-art methods in symbolic and tomographic coronary artery reconstruction from interventional C-arm rotational angiography. Specifically, we will benchmark the performance of the methods using accurately pre-processed data, and study the effects of imperfect pre-processing conditions (segmentation and background subtraction errors). The evaluation will be performed in a controlled environment using digital phantom images.",https://coronare.grand-challenge.org/,,Grand Challenge,,,completed,False,False,True,FALSE,False,False,FALSE,FALSE
ICIAR 2018,ICIAR2018-Challenge,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/176/logo_small.png,Can you develop a method for automatic detection of cancerous regions in breast cancer histology images?,https://iciar2018-challenge.grand-challenge.org/,https://doi.org/10.1016/j.media.2019.05.010,Grand Challenge,2023-01-09,,active,True,False,False,FALSE,True,False,FALSE,FALSE
SLIVER07,SLIVER07,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/178/splash2.jpg,The goal of this competition is to compare different algorithms to segment the liver from clinical 3D computed tomography (CT) scans.,https://sliver07.grand-challenge.org/,https://doi.org/10.1109/tmi.2009.2013851,Grand Challenge,,,completed,False,True,True,FALSE,True,False,FALSE,FALSE
ROCC,ROCC,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/180/logo.jpg,"Retinal OCT Classification Challenge (ROCC) is organized as a one day Challenge in conjunction with MVIP2017. The goal of this challenge is to call different automated algorithms that are able to detect DR disease from normal retina on a common dataset of OCT volumes, acquired with Topcon SD-OCT devices.",https://rocc.grand-challenge.org/,,Grand Challenge,,,completed,False,False,True,FALSE,False,False,FALSE,FALSE
