A1BG	A1CF	A2M	A4GALT	A4GNT	AAAS	AACS	AADAC	AADAT	AAED1	AAGAB	AAK1	AAMDC	AAMP	AANAT	AAR2	AARD	AARS	AARS2	AARSD1	AASDH	AASDHPPT	AASS	AATF	AATK	AB015752.3	ABAT	ABC13.47488600E17.1	ABC13.47656900H15.1	ABC7.481722F1.2	ABCA1	ABCA10	ABCA13	ABCA2	ABCA3	ABCA4	ABCA5	ABCA6	ABCA7	ABCA8	ABCA9	ABCB1	ABCB10	ABCB4	ABCB5	ABCB6	ABCB7	ABCB8	ABCB9	ABCC1	ABCC10	ABCC11	ABCC2	ABCC3	ABCC4	ABCC5	ABCC6	ABCC8	ABCC9	ABCD1	ABCD2	ABCD3	ABCD4	ABCE1	ABCF1	ABCF2	ABCF3	ABCG1	ABCG2	ABHD1	ABHD10	ABHD11	ABHD12	ABHD12B	ABHD13	ABHD14A	ABHD14A.ACY1	ABHD14B	ABHD15	ABHD16A	ABHD17A	ABHD17B	ABHD17C	ABHD18	ABHD2	ABHD3	ABHD4	ABHD5	ABHD6	ABHD8	ABI1	ABI2	ABI3	ABI3BP	ABL1	ABL2	ABLIM1	ABLIM2	ABLIM3	ABO	ABR	ABRACL	ABT1	ABTB1	ABTB2	AC000403.4	AC001226.7	AC002331.1	AC002480.2	AC003090.1	AC003092.1	AC004069.2	AC004156.3	AC004158.1	AC004158.3	AC004257.1	AC004381.6	AC004510.3	AC004540.5	AC004754.3	AC004791.2	AC004824.1	AC004895.4	AC004951.6	AC005082.12	AC005224.2	AC005301.9	AC005304.1	AC005355.2	AC005363.11	AC005477.1	AC005480.1	AC005487.2	AC005498.3	AC005522.7	AC005523.3	AC005537.2	AC005606.14	AC005616.2	AC005618.6	AC005624.2	AC005779.2	AC005786.5	AC006116.20	AC006129.1	AC006129.2	AC006273.5	AC006372.4	AC006386.1	AC006449.2	AC006946.15	AC006946.16	AC007036.6	AC007040.11	AC007064.24	AC007161.5	AC007163.3	AC007228.5	AC007228.9	AC007349.5	AC007365.3	AC007381.3	AC007383.3	AC007386.2	AC007389.3	AC007391.2	AC007405.4	AC007405.6	AC007879.2	AC007880.1	AC007906.1	AC007950.1	AC007950.2	AC007952.4	AC008074.1	AC008088.4	AC008268.1	AC008269.2	AC008522.1	AC008592.4	AC008686.1	AC008746.12	AC008759.1	AC008914.1	AC009022.1	AC009060.2	AC009065.1	AC009120.10	AC009120.11	AC009120.4	AC009120.5	AC009276.4	AC009299.3	AC009404.2	AC009410.1	AC009495.2	AC009495.4	AC009505.4	AC009784.3	AC009961.3
0	0	0	0	0	0	0	0	0	0	0	3.0992989540100098	0	3.0992989540100098	0	3.0992989540100098	0	0	0	0	0	3.0992989540100098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0992989540100098	0	0	0	0	0	0	0	0	0	0	3.0992989540100098	0	3.0992989540100098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1.7235829830169678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7235829830169678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7235829830169678	0	0	0	0	1.7235829830169678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7235829830169678	1.7235829830169678	0	0	0	0	0	0	1.7235829830169678	1.7235829830169678	0	2.4867429733276367	0	0	0	0	0	0	0	0	1.7235829830169678	1.7235829830169678	2.4867429733276367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7235829830169678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8192939758300781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.179219365119934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8192939758300781	0	0	0	0	0	0	0	0	0	0	0	0	1.179219365119934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.179219365119934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.403069019317627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9264307022094727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.291851043701172	0	0	0	0	0	0	0	0	0	4.291851043701172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	3.1266345977783203	0	0	0	0	0	3.1266345977783203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1266345977783203	0	0	0	3.1266345977783203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0415849685668945	0	0	0	0	0	0	0	3.1266345977783203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	2.732600688934326	0	0	0	0	0	0	0	0	1.9348046779632568	1.9348046779632568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.732600688934326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.732600688934326	0	0	0	0	1.9348046779632568	0	1.9348046779632568	0	0	0	0	0	0	0	0	0	0	2.732600688934326	0	0	0	2.732600688934326	0	0	0	0	0	1.9348046779632568	1.9348046779632568	0	0	0	0	0	0	0	0	0	1.9348046779632568	0	0	0	0	0	4.722978115081787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.165074348449707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.760735034942627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	3.118757724761963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.033228397369385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.033228397369385	0	0	0	0	0	0	0	0	0	0	4.033228397369385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
