umap_1	umap_2	cell_type	cell_type_broad	tissue	subtype
8.241974830627441	-2.223362684249878	Tgd	T cells	pleural_effusion	SCLC-A
3.7183852195739746	-1.9361348152160645	CD8+ Tmem	T cells	lung	SCLC-A
-2.3671715259552	9.620185852050781	cDC	Myeloid	pleural_effusion	SCLC-A
-1.3155839443206787	8.998966217041016	Mono/Mφ	Myeloid	LN	SCLC-A
-1.3069967031478882	9.033559799194336	Mono/Mφ	Myeloid	lung	SCLC-A
0.39081326127052307	1.6271153688430786	CD4+ Tconv	T cells	axilla	SCLC-N
7.51508903503418	-2.967085599899292	NK	NK	lung	SCLC-A
2.3873708248138428	-4.1574249267578125	CD4+ Tconv	T cells	liver	SCLC-N
4.924705982208252	10.319812774658203	Neutrophil	Myeloid	liver	SCLC-A
3.4974684715270996	-1.855372667312622	CD8+ Tmem	T cells	lung	SCLC-A
-6.972328186035156	-5.958523273468018	CD4+ Tconv	T cells	lung	SCLC-A
8.439958572387695	-3.0449535846710205	Tgd	T cells	pleural_effusion	SCLC-A
2.1494810581207275	-4.3468194007873535	CD8+ Teff	T cells	lung	SCLC-A
-0.1397109180688858	0.44049960374832153	CD4+ Tconv	T cells	LN	SCLC-A
-0.39754000306129456	-1.908949613571167	CD4+ Tconv	T cells	LN	SCLC-A
-1.1039437055587769	-5.159603118896484	CD4+ Tconv	T cells	liver	SCLC-A
-12.964147567749023	1.0456013679504395	B cell	B cell	LN	SCLC-A
2.8084850311279297	1.2332943677902222	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
9.656144142150879	-2.8643808364868164	Tgd	T cells	pleural_effusion	SCLC-A
-6.82879638671875	-5.862610816955566	CD4+ Tconv	T cells	lung	SCLC-A
1.3134708404541016	-0.7287439107894897	CD4+ Tconv	T cells	lung	SCLC-A
3.799546003341675	-2.1210129261016846	CD8+ Tmem	T cells	lung	SCLC-A
1.6858538389205933	-3.733814001083374	CD8+ Teff	T cells	lung	SCLC-A
-12.746183395385742	1.0269960165023804	B cell	B cell	LN	SCLC-A
-8.092631340026855	-6.485310077667236	CD8+ Tmem	T cells	lung	SCLC-A
-9.201213836669922	7.082481861114502	pDC	Myeloid	lung	SCLC-A
2.5931942462921143	1.8130823373794556	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
-2.7159183025360107	10.974791526794434	Mono/Mφ	Myeloid	LN	SCLC-A
3.4813730716705322	-2.0571813583374023	CD8+ Tmem	T cells	lung	SCLC-A
0.7507136464118958	1.184693455696106	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
-6.499601364135742	-6.5460100173950195	CD4+ Tconv	T cells	lung	SCLC-A
-2.4249215126037598	-2.2158355712890625	CD4+ Treg	T cells	lung	SCLC-A
-2.238740921020508	10.442087173461914	Mono/Mφ	Myeloid	pleural_effusion	SCLC-A
-12.4513578414917	1.0106745958328247	B cell	B cell	LN	SCLC-A
-3.3517277240753174	-4.252860069274902	CD4+ Tconv	T cells	lung	SCLC-A
-0.22402717173099518	0.959737241268158	CD4+ Tconv	T cells	pleural_effusion	SCLC-N
-7.865701675415039	-5.905086517333984	CD8+ Tmem	T cells	lung	SCLC-A
2.977360248565674	1.0974544286727905	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
-1.7177599668502808	8.827960014343262	Mono/Mφ	Myeloid	lung	SCLC-A
2.728101968765259	-3.9219913482666016	CD8+ Tmem	T cells	LN	SCLC-A
3.577497720718384	-2.566030263900757	CD8+ Texh	T cells	lung	SCLC-A
5.5267744064331055	10.283384323120117	Neutrophil	Myeloid	lung	SCLC-A
